"","Product_ID","User_ID","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","TC_Code","Product_Category_1","Product_Category_2","Product_Category_3","Purchase"
"186155","P00281742",1004714,"M","51-55",1,"A","1",1,16,5,8,18,8780
"52044","P00053542",1001941,"M","36-45",17,"A","1",0,16,1,NA,NA,8250
"76648","P00298242",1005806,"F","51-55",1,"B","2",0,8,8,NA,NA,3897
"435610","P00005042",1001090,"M","26-35",7,"C","1",1,40,6,16,NA,20642
"500541","P00311642",1005077,"M","26-35",2,"A","0",0,12,8,17,NA,5952
"484258","P00129342",1002620,"M","18-25",4,"C","4+",0,8,1,5,15,4455
"64798","P00000542",1003935,"M","36-45",18,"C","4+",0,10,5,NA,NA,5189
"81230","P00157642",1000533,"M","26-35",12,"A","1",0,38,1,14,16,19542
"18134","P00149642",1002858,"F","0-17",10,"B","2",0,10,5,14,NA,5426
"259493","P00037142",1003968,"M","26-35",2,"C","1",0,30,1,2,5,15782
"88804","P00234042",1001680,"M","26-35",20,"A","3",1,24,1,NA,NA,11978
"429739","P00265742",1000157,"M","36-45",16,"A","1",0,10,5,12,NA,5418
"388423","P00246342",1005771,"M","26-35",7,"A","1",0,6,11,15,NA,3138
"367704","P00150942",1002629,"M","26-35",11,"C","0",1,32,6,11,13,16195
"375991","P00323642",1003849,"M","36-45",0,"C","4+",0,16,8,NA,NA,7901
"486402","P00221642",1002972,"M","26-35",4,"A","3",1,6,5,15,NA,3631
"464155","P0098342",1005497,"M","26-35",4,"A","1",1,30,1,2,NA,15435
"337684","P00049642",1003971,"F","18-25",4,"B","0",0,12,8,14,NA,5824
"484618","P00178642",1002680,"M","26-35",12,"C","1",1,10,5,15,NA,5288
"473118","P00295842",1000920,"M","18-25",4,"C","4+",0,16,5,8,NA,8573
"413290","P00191342",1003621,"M","18-25",4,"B","3",0,14,2,4,9,6814
"236806","P00052542",1000531,"F","18-25",14,"B","0",0,14,8,NA,NA,7756
"431807","P0097242",1000477,"M","36-45",14,"A","1",0,38,1,16,NA,19595
"184106","P00303542",1004387,"F","18-25",4,"B","0",0,8,5,NA,NA,3745
"41907","P00173042",1000454,"M","26-35",20,"C","2",1,0,13,15,16,407
"63392","P00024142",1003735,"M","26-35",0,"B","0",0,16,8,9,14,8132
"71205","P00346642",1004940,"F","51-55",11,"B","1",0,8,8,NA,NA,4087
"358742","P00249642",1001261,"M","18-25",4,"C","2",0,20,3,5,NA,10693
"265006","P00086442",1004802,"M","55+",1,"B","3",1,8,8,13,15,4213
"103806","P00102142",1003999,"M","36-45",17,"B","4+",0,2,13,16,NA,772
"409890","P00083442",1003118,"M","26-35",0,"B","1",0,16,8,NA,NA,8091
"47270","P00150042",1001264,"M","26-35",1,"A","3",0,16,8,NA,NA,8140
"109691","P00111142",1004889,"M","18-25",4,"C","3",0,30,1,15,16,15248
"166271","P00228642",1001676,"M","18-25",4,"B","4+",0,16,5,18,NA,8810
"244175","P00010242",1001628,"M","18-25",20,"B","1",0,14,5,NA,NA,7139
"462654","P00359042",1005255,"M","0-17",10,"A","3",0,24,2,8,14,12859
"501507","P00074442",1005256,"M","26-35",16,"B","4+",1,22,1,16,NA,11748
"16850","P00110742",1002624,"F","36-45",0,"A","1",1,38,1,2,8,19267
"50727","P00331342",1001749,"M","26-35",2,"B","1",1,12,8,16,NA,6088
"13681","P00033942",1002034,"F","46-50",2,"C","4+",1,14,5,NA,NA,6871
"14632","P00123142",1002172,"M","18-25",20,"B","2",0,6,11,NA,NA,3106
"33014","P00119742",1005068,"M","36-45",7,"C","2",0,14,5,8,12,6960
"444639","P00000342",1002446,"M","18-25",7,"B","0",0,10,5,14,NA,5194
"249549","P00015642",1002453,"M","26-35",7,"B","0",0,16,8,16,17,7807
"230732","P00337742",1005580,"M","46-50",7,"B","4+",0,8,5,14,NA,3644
"258441","P00025942",1003823,"M","55+",7,"B","1",0,8,8,14,NA,4012
"96974","P00021142",1003026,"F","18-25",4,"B","1",0,4,5,NA,NA,2036
"97865","P00129042",1003189,"M","26-35",16,"A","1",0,22,1,11,NA,11476
"230391","P00008042",1005536,"M","26-35",16,"B","2",1,24,6,8,14,12394
"289949","P00115942",1002704,"M","55+",13,"C","1",1,16,8,17,NA,8066
"201159","P00282342",1001087,"M","26-35",16,"B","1",0,12,2,NA,NA,6691
"525545","P00037442",1003001,"M","18-25",4,"B","1",0,6,18,NA,NA,3107
"461679","P00343042",1005077,"M","26-35",2,"A","0",0,14,5,18,NA,7102
"189688","P00127842",1005306,"F","26-35",17,"B","4+",0,30,1,2,15,15275
"327839","P00004542",1002486,"M","18-25",12,"A","1",0,14,5,8,NA,6943
"488600","P00103042",1003336,"M","36-45",17,"B","2",1,22,1,14,NA,11856
"398902","P00135742",1001383,"F","26-35",7,"A","1",0,16,6,8,NA,8474
"464424","P00270842",1005536,"M","26-35",16,"B","2",1,10,5,NA,NA,5214
"229936","P00131042",1005466,"M","26-35",12,"B","1",0,18,8,NA,NA,9736
"464263","P00216342",1005512,"F","26-35",17,"B","2",1,26,3,4,5,13312
"277057","P00023042",1000731,"M","46-50",3,"A","0",1,16,5,14,NA,8630
"406026","P00326742",1002479,"F","26-35",1,"C","2",0,12,11,NA,NA,6027
"45211","P00273542",1000984,"M","51-55",16,"A","2",1,12,8,14,NA,6064
"251453","P00172842",1002810,"F","0-17",10,"B","2",0,22,3,4,NA,10985
"323620","P00113342",1001816,"F","36-45",9,"C","4+",0,30,1,8,17,15745
"134185","P00176842",1002734,"F","18-25",4,"C","1",0,2,12,14,NA,1393
"487068","P00156742",1003080,"M","26-35",20,"A","4+",1,6,5,6,8,3476
"9321","P00192042",1001426,"M","18-25",14,"B","3",0,14,5,9,14,6943
"82123","P00231242",1000692,"F","26-35",0,"A","0",1,32,16,NA,NA,16554
"305993","P00009342",1005121,"M","26-35",7,"C","4+",0,14,1,16,NA,7595
"324765","P00057342",1001969,"F","26-35",3,"B","4+",0,2,4,5,NA,1440
"315776","P00054242",1000692,"F","26-35",0,"A","0",1,30,1,6,14,15898
"165438","P00034042",1001564,"M","51-55",1,"C","1",1,22,1,2,16,11865
"145932","P00052242",1004482,"F","36-45",1,"A","1",0,16,8,NA,NA,8132
"307490","P00313542",1005390,"M","0-17",0,"C","1",0,16,5,8,NA,8630
"480493","P00297042",1001962,"F","18-25",1,"B","0",1,16,8,NA,NA,7917
"313167","P0097242",1000255,"M","36-45",0,"C","1",1,38,1,16,NA,19648
"256931","P00126142",1003621,"M","18-25",4,"B","3",0,18,8,16,NA,9850
"498850","P00289342",1004802,"M","55+",1,"B","3",1,10,5,8,14,5186
"300578","P00303242",1004271,"M","36-45",7,"B","2",0,10,5,8,NA,5304
"338035","P00345942",1004021,"M","51-55",20,"B","1",1,16,8,15,NA,8114
"509138","P00317942",1000429,"M","18-25",0,"C","1",0,12,8,16,NA,5893
"523886","P00189642",1002748,"M","26-35",4,"B","1",0,18,8,13,NA,9827
"249686","P00270942",1002472,"M","26-35",18,"A","1",1,14,1,2,15,7722
"468541","P00279442",1000163,"M","18-25",4,"A","1",0,24,16,NA,NA,12559
"421413","P00112442",1004827,"M","36-45",0,"C","0",1,32,6,8,NA,16129
"100127","P00084342",1003515,"M","36-45",3,"C","0",0,2,13,16,NA,772
"319008","P00243942",1001172,"F","26-35",0,"A","2",1,22,1,2,15,11417
"497068","P00327242",1004505,"M","51-55",7,"C","1",0,14,5,8,NA,7118
"432595","P00334242",1000612,"M","51-55",7,"C","1",0,30,1,8,NA,15359
"122848","P00050542",1001004,"M","26-35",3,"B","2",0,6,5,NA,NA,3484
"10202","P00230142",1001579,"M","26-35",0,"A","0",0,32,7,NA,NA,16533
"224012","P00210042",1004496,"M","46-50",2,"C","4+",0,16,8,14,NA,7801
"471530","P00369042",1000673,"M","26-35",20,"A","4+",0,4,8,16,NA,2191
"527515","P00249542",1003314,"M","26-35",7,"C","2",0,30,1,5,15,15740
"113475","P00328142",1005514,"F","0-17",10,"C","3",0,16,8,16,NA,7928
"154808","P00118642",1005917,"F","51-55",1,"A","2",1,30,1,8,14,15448
"384780","P00021742",1005217,"M","26-35",17,"B","3",0,10,5,NA,NA,5213
"9506","P00216942",1001449,"M","36-45",20,"A","1",1,14,5,NA,NA,7117
"306585","P00102642",1005251,"F","26-35",17,"A","1",1,6,4,8,9,2811
"167391","P00205942",1001836,"M","26-35",0,"A","4+",0,14,5,8,14,7104
"481814","P00255842",1002131,"M","26-35",0,"B","1",0,40,16,NA,NA,20338
"106186","P00244042",1004351,"M","26-35",12,"C","2",0,30,1,2,15,15275
"428228","P00116742",1005937,"M","26-35",12,"B","2",1,8,11,NA,NA,4454
"100701","P00166242",1003598,"M","55+",1,"A","2",0,4,8,NA,NA,2238
"15382","P00010742",1002302,"M","51-55",12,"A","1",1,38,1,8,17,19672
"26427","P00173842",1004042,"M","36-45",15,"B","3",1,30,1,2,15,15177
"507945","P00193442",1000225,"M","26-35",7,"A","0",0,8,8,NA,NA,3911
"432780","P00140742",1000651,"M","36-45",7,"B","2",0,24,1,15,NA,12003
"81110","P00365542",1000517,"F","26-35",14,"A","1",0,14,5,8,NA,6973
"342824","P00339542",1004747,"M","18-25",4,"C","1",0,30,1,NA,NA,15292
"422461","P00303142",1005011,"M","18-25",4,"B","1",0,10,5,NA,NA,5303
"6706","P00054242",1001077,"M","26-35",3,"A","1",0,30,1,6,14,15816
"326792","P00085942",1002258,"F","18-25",4,"B","4+",0,32,2,4,8,16253
"466444","P00351142",1005837,"M","26-35",7,"B","0",1,30,1,8,17,15275
"50818","P00157542",1001758,"F","26-35",0,"B","1",0,8,8,14,NA,4050
"533436","P00063342",1004104,"M","18-25",16,"C","1",0,22,1,2,9,11609
"417311","P00173242",1004205,"F","26-35",15,"C","2",0,10,5,NA,NA,5459
"497624","P00286742",1004585,"M","36-45",7,"C","3",0,30,1,16,NA,15695
"2580","P00317842",1000412,"M","36-45",15,"A","1",1,16,8,NA,NA,7879
"518696","P00181842",1001861,"M","51-55",16,"A","1",1,14,11,NA,NA,7511
"291086","P00188542",1002895,"M","26-35",11,"B","4+",0,14,5,8,14,6863
"334827","P00281642",1003589,"F","46-50",0,"B","1",1,30,1,8,NA,15212
"11425","P00237242",1001726,"M","26-35",2,"B","1",1,8,1,6,NA,4468
"254662","P00346142",1003314,"M","26-35",7,"C","2",0,36,1,15,NA,19193
"314990","P00163442",1000550,"M","46-50",8,"B","1",1,38,6,8,13,20142
"68025","P00034942",1004407,"M","18-25",4,"A","1",0,12,8,NA,NA,5976
"358971","P00313242",1001285,"M","36-45",4,"A","0",1,16,8,NA,NA,8120
"138227","P00153742",1003391,"M","18-25",4,"A","0",0,20,8,NA,NA,9891
"337437","P00279642",1003940,"M","36-45",20,"B","3",1,32,7,NA,NA,16536
"473531","P00289942",1000990,"M","18-25",6,"C","2",0,16,3,4,5,7990
"317686","P00104742",1001010,"M","26-35",0,"A","1",0,24,7,NA,NA,12915
"507014","P00144042",1000075,"F","0-17",10,"C","4+",0,26,2,3,4,13225
"167396","P00238442",1001836,"M","26-35",0,"A","4+",0,30,6,NA,NA,16011
"199600","P00173042",1000839,"M","26-35",0,"A","2",0,2,13,15,16,578
"55018","P00049542",1002429,"M","26-35",2,"A","2",1,16,8,NA,NA,8037
"511195","P00340642",1000775,"M","0-17",17,"C","1",0,10,5,NA,NA,5139
"20563","P00306042",1003261,"M","46-50",20,"B","1",1,14,2,8,NA,6830
"108524","P00237642",1004689,"M","18-25",12,"B","1",0,14,5,14,NA,7092
"180591","P00068442",1003884,"M","18-25",4,"A","1",1,6,18,NA,NA,3041
"463685","P00126942",1005428,"F","26-35",6,"B","4+",0,16,8,NA,NA,7971
"171141","P00083842",1002428,"M","46-50",17,"B","1",0,16,5,14,NA,8772
"64392","P00006942",1003868,"M","18-25",12,"C","0",0,24,1,5,6,12025
"536637","P00188442",1004585,"M","36-45",7,"C","3",0,18,5,7,NA,8905
"466086","P00051442",1005788,"M","26-35",0,"A","4+",0,18,8,17,NA,9697
"121250","P00004142",1000746,"F","18-25",19,"B","3",0,8,8,17,NA,3912
"405594","P00183942",1002386,"F","26-35",0,"B","3",0,16,3,4,NA,8062
"333580","P00307642",1003418,"F","18-25",3,"C","4+",0,8,5,6,NA,3683
"503894","P00117642",1005622,"M","36-45",15,"C","3",1,44,10,16,NA,23067
"172777","P00102342",1002745,"F","36-45",1,"C","1",0,16,8,14,17,8130
"371862","P00128242",1003312,"F","18-25",4,"A","3",0,14,5,12,14,6857
"196015","P00073842",1000251,"M","55+",17,"A","0",1,16,1,15,17,8231
"426296","P00118442",1005636,"M","26-35",7,"A","0",1,30,1,2,NA,15858
"481122","P00259242",1002041,"F","26-35",20,"B","4+",0,4,5,NA,NA,1968
"470653","P00285742",1000524,"M","18-25",0,"A","0",0,16,8,NA,NA,7917
"324700","P00113242",1001961,"F","51-55",3,"C","2",1,30,1,6,8,15833
"496151","P00100942",1004381,"M","26-35",4,"B","3",1,16,5,NA,NA,8710
"247490","P00303042",1002073,"F","18-25",4,"B","4+",0,14,5,NA,NA,7098
"102935","P00255842",1003880,"M","26-35",7,"C","2",0,40,16,NA,NA,20449
"536245","P00057642",1004517,"F","18-25",1,"A","0",1,16,1,15,16,8032
"23592","P00144642",1003679,"M","26-35",4,"A","2",0,30,1,15,16,15176
"52888","P00129542",1002047,"M","0-17",10,"B","1",0,16,8,14,NA,7920
"304227","P00271242",1004843,"M","55+",1,"C","2",0,18,8,14,NA,9870
"119744","P00067942",1000482,"M","26-35",14,"A","2",1,10,5,14,NA,5450
"67615","P00000242",1004352,"M","18-25",4,"B","0",0,18,2,4,9,9686
"431205","P00100442",1000369,"M","36-45",1,"B","2",0,12,2,4,5,6498
"287720","P00000142",1002255,"F","36-45",6,"B","1",1,26,3,4,5,13544
"472534","P00089342",1000829,"M","0-17",19,"A","2",0,20,8,NA,NA,9948
"186751","P00053542",1004808,"M","36-45",0,"A","1",1,22,1,NA,NA,11622
"289069","P00206042",1002541,"F","36-45",5,"B","1",1,8,5,NA,NA,3762
"201878","P00354442",1001168,"F","26-35",0,"A","1",1,10,5,NA,NA,5377
"390345","P00233542",1000036,"M","26-35",3,"B","0",0,38,1,15,NA,19325
"215632","P00100442",1003320,"M","26-35",1,"B","1",1,30,2,4,5,15937
"462267","P00000142",1005164,"F","36-45",17,"A","0",0,22,3,4,5,10995
"100795","P00061342",1003610,"M","18-25",6,"B","4+",0,10,3,4,12,5556
"235892","P00050142",1000386,"M","26-35",0,"A","1",1,14,5,NA,NA,7040
"33397","P00252742",1005113,"M","26-35",0,"A","3",1,12,8,NA,NA,6126
"32956","P00085342",1005056,"M","46-50",1,"C","1",1,44,10,13,NA,23252
"508211","P00356742",1000272,"M","18-25",0,"A","1",0,14,5,NA,NA,7095
"109834","P00034842",1004916,"M","18-25",20,"C","4+",0,10,5,14,NA,5186
"359637","P00302542",1001380,"M","0-17",10,"C","0",0,10,5,NA,NA,5229
"294927","P00137442",1003499,"M","26-35",3,"A","2",0,4,8,12,NA,2044
"458976","P00238542",1004611,"F","18-25",4,"A","2",0,10,5,14,NA,5164
"184165","P00170442",1004404,"M","26-35",1,"B","1",0,16,5,NA,NA,8814
"490305","P00230942",1003558,"M","18-25",17,"A","3",0,18,5,14,NA,8873
"147562","P00331942",1004750,"F","26-35",0,"A","2",0,14,5,NA,NA,6913
"79475","P00009542",1000225,"M","26-35",7,"A","0",0,12,8,NA,NA,6120
"515434","P00302342",1001383,"F","26-35",7,"A","1",0,16,8,NA,NA,7841
"120771","P00189242",1000676,"M","18-25",16,"B","1",1,4,5,NA,NA,1920
"382786","P0097242",1004884,"M","36-45",14,"B","1",0,38,1,16,NA,19574
"374531","P0094642",1003675,"M","36-45",7,"B","3",0,4,4,5,NA,2165
"159816","P00114942",1000729,"M","36-45",12,"C","0",0,30,1,15,16,15626
"111120","P00003942",1005107,"F","46-50",0,"B","0",0,10,5,14,NA,5229
"53475","P00041942",1002127,"M","18-25",4,"C","0",1,4,5,18,NA,1938
"115974","P00129642",1005905,"F","36-45",20,"B","2",0,14,5,NA,NA,6858
"100944","P00182142",1003621,"M","18-25",4,"B","3",0,22,1,5,6,11833
"389100","P00293242",1005875,"M","26-35",4,"C","1",0,18,8,16,NA,9812
"244995","P00033042",1001727,"M","36-45",16,"B","2",1,14,5,14,NA,7147
"17711","P00269542",1002790,"M","26-35",20,"A","3",0,8,11,15,NA,4511
"52823","P0099842",1002038,"F","46-50",1,"B","3",1,6,5,12,14,3582
"321096","P00347642",1001448,"F","26-35",3,"A","1",0,22,1,6,NA,11474
"46248","P00245642",1001128,"M","26-35",1,"A","2",0,10,5,11,12,5157
"166892","P00205942",1001752,"M","26-35",3,"B","1",0,14,5,8,14,6919
"380882","P00228042",1004566,"M","36-45",17,"C","1",0,10,5,NA,NA,5347
"521740","P00296042",1002293,"F","55+",3,"B","1",1,20,8,13,16,9917
"34429","P00119442",1005317,"F","26-35",0,"A","1",0,16,5,NA,NA,8837
"328887","P00286642",1002680,"M","26-35",12,"C","1",1,8,11,14,NA,4664
"240235","P00201442",1001077,"M","26-35",3,"A","1",0,30,1,6,8,15445
"353297","P00057642",1000419,"M","18-25",3,"C","1",0,24,1,15,16,12067
"526097","P00303142",1003080,"M","26-35",20,"A","4+",1,10,5,NA,NA,5362
"479250","P00245442",1001781,"F","36-45",0,"C","2",0,2,11,NA,NA,1532
"430968","P00007842",1000331,"M","26-35",7,"B","1",0,12,8,16,NA,6054
"243437","P00046742",1001507,"M","36-45",17,"C","0",0,38,1,2,15,19244
"18393","P00100442",1002899,"M","36-45",14,"A","3",1,20,2,4,5,9960
"301387","P0095842",1004386,"M","26-35",5,"B","1",0,16,3,4,12,8407
"444196","P00100142",1002329,"F","55+",15,"C","1",1,18,10,16,NA,9396
"313012","P00288342",1000225,"M","26-35",7,"A","0",0,16,8,NA,NA,8029
"245988","P00128942",1001880,"M","36-45",0,"B","3",1,30,1,11,NA,15703
"493767","P00285742",1004016,"M","51-55",0,"B","1",0,12,8,NA,NA,5847
"193763","P00114942",1005917,"F","51-55",1,"A","2",1,36,1,15,16,19165
"184388","P00313542",1004436,"M","26-35",12,"C","1",0,10,5,8,NA,5408
"73077","P00207942",1005256,"M","26-35",16,"B","4+",1,38,6,8,NA,20135
"202357","P00240142",1001238,"F","36-45",20,"A","1",0,14,5,NA,NA,6942
"170379","P00250842",1002250,"M","18-25",19,"A","3",1,16,8,NA,NA,7890
"61430","P00110742",1003482,"M","51-55",17,"C","2",1,30,1,2,8,15506
"342132","P00177542",1004637,"F","36-45",9,"B","0",1,30,1,8,NA,15253
"122539","P00010742",1000945,"M","46-50",7,"C","3",0,30,1,8,17,15599
"151197","P00182142",1005364,"F","26-35",3,"A","3",0,38,1,5,6,19651
"88037","P00289042",1001593,"M","26-35",16,"C","1",1,12,8,NA,NA,6136
"8386","P00276642",1001286,"M","36-45",17,"A","1",0,18,8,11,NA,9794
"300249","P00143642",1004217,"M","18-25",4,"B","2",0,22,1,2,6,11669
"67915","P00008142",1004387,"F","18-25",4,"B","0",0,20,8,NA,NA,10078
"180633","P00145042",1003887,"M","18-25",4,"C","1",0,22,1,2,5,11384
"78504","P00348242",1000062,"F","36-45",3,"A","1",0,12,8,NA,NA,5924
"25440","P00303842",1003916,"M","26-35",4,"A","2",1,14,5,8,14,6958
"457691","P00164342",1004425,"M","36-45",7,"B","1",0,8,5,8,NA,3653
"245399","P00050742",1001778,"M","18-25",4,"B","1",0,10,5,NA,NA,5470
"266436","P00301542",1005039,"F","36-45",4,"B","2",1,16,16,NA,NA,8739
"278895","P00086942",1001019,"M","36-45",1,"A","4+",1,16,16,NA,NA,8265
"401116","P00036842",1001701,"F","26-35",4,"B","1",0,30,1,14,16,15413
"126445","P00005742",1001484,"M","26-35",12,"C","1",0,14,8,14,NA,7763
"188762","P00139942",1005124,"M","36-45",2,"B","1",0,6,5,NA,NA,3521
"146908","P00348342",1004639,"M","36-45",11,"B","2",0,12,8,17,NA,6137
"403881","P00177342",1002088,"M","51-55",7,"A","1",1,18,8,NA,NA,9871
"62613","P00271242",1003641,"M","26-35",0,"B","1",0,16,8,14,NA,7808
"296503","P00199342",1003695,"M","26-35",2,"A","2",0,20,2,9,15,10148
"246883","P00088242",1002002,"F","55+",13,"C","2",1,38,6,10,13,20040
"360474","P00140042",1001499,"M","0-17",10,"C","1",0,30,1,16,NA,15358
"340218","P00232442",1004345,"F","26-35",14,"B","1",0,10,5,NA,NA,5435
"136011","P00057342",1003017,"F","36-45",9,"B","1",0,4,4,5,NA,2151
"507057","P00313142",1000088,"F","46-50",1,"C","1",1,16,8,NA,NA,7850
"501651","P00136542",1005275,"M","26-35",17,"A","4+",0,16,5,8,NA,8788
"305272","P00084242",1005020,"F","55+",13,"C","2",1,12,8,14,NA,6179
"230110","P00249842",1005495,"F","18-25",4,"B","3",1,16,8,NA,NA,7959
"77388","P00150342",1005920,"F","26-35",1,"C","2",0,14,8,14,NA,7769
"141764","P00046742",1003856,"F","36-45",20,"C","1",1,30,1,2,15,15336
"443655","P00033942",1002222,"F","46-50",1,"B","2",1,6,5,NA,NA,3559
"486203","P00240442",1002934,"F","36-45",20,"B","3",0,24,6,16,NA,12658
"402392","P00037042",1001884,"M","46-50",20,"B","1",1,24,1,15,NA,12119
"236229","P00112142",1000438,"M","18-25",11,"A","3",0,38,1,2,14,19375
"70668","P00219842",1004831,"F","26-35",1,"C","1",0,8,5,NA,NA,3709
"488568","P00152742",1003333,"M","18-25",16,"C","1",0,10,5,NA,NA,5275
"236727","P00117542",1000524,"M","18-25",0,"A","0",0,8,18,NA,NA,3826
"131385","P00170942",1002164,"M","36-45",0,"B","3",0,6,5,8,14,3464
"412781","P00289242",1003553,"M","36-45",16,"C","0",1,38,1,8,NA,19589
"394707","P00178642",1000772,"M","18-25",12,"C","2",0,10,5,15,NA,5141
"489703","P00085242",1003487,"M","18-25",4,"A","1",1,16,8,14,17,8081
"496836","P00051642",1004478,"M","0-17",12,"A","1",0,16,8,NA,NA,7823
"529920","P00110342",1003641,"M","26-35",0,"B","1",0,18,7,NA,NA,8844
"311734","P00337142",1000006,"F","51-55",9,"A","1",0,2,12,NA,NA,1084
"119718","P00116842",1000482,"M","26-35",14,"A","2",1,30,2,5,8,15925
"445752","P00193542",1002651,"M","55+",14,"C","3",1,30,1,2,NA,15566
"213636","P00058142",1003013,"M","46-50",17,"B","2",1,22,3,4,12,10989
"179407","P00183342",1003727,"M","36-45",7,"B","1",0,8,5,15,18,3721
"16029","P00009342",1002456,"M","26-35",5,"A","1",0,22,1,16,NA,11783
"228224","P00135142",1005163,"M","46-50",6,"B","1",1,2,13,16,NA,749
"430706","P00223742",1000302,"M","18-25",4,"B","4+",0,20,2,4,8,9884
"530216","P00150542",1003681,"M","26-35",7,"B","3",0,10,5,NA,NA,5481
"234970","P00030942",1000222,"M","26-35",1,"A","1",0,6,4,5,9,2736
"338008","P00062842",1004016,"M","51-55",0,"B","1",0,22,1,2,13,11839
"241575","P00370342",1001246,"M","18-25",4,"A","2",0,12,8,NA,NA,5818
"509217","P00120942",1000442,"M","26-35",1,"A","2",0,12,8,NA,NA,5865
"522514","P00196142",1002457,"M","26-35",0,"B","0",1,16,3,4,5,8016
"196672","P00351142",1000346,"F","26-35",0,"B","2",0,38,1,8,17,19472
"353032","P00117242",1000366,"M","51-55",15,"B","1",1,20,8,17,NA,9990
"1018","P00129642",1000173,"M","26-35",0,"B","1",1,10,5,NA,NA,5173
"280189","P00177842",1001192,"M","51-55",16,"A","1",1,16,8,NA,NA,7885
"379940","P00357242",1004434,"F","36-45",7,"A","1",0,18,5,NA,NA,8879
"454061","P00217442",1003889,"M","46-50",6,"C","0",1,24,1,2,11,12017
"532824","P00312242",1004028,"M","26-35",4,"A","2",0,4,5,NA,NA,1821
"109198","P00110542",1004802,"M","55+",1,"B","3",1,20,8,NA,NA,9970
"476603","P00184942",1001399,"M","18-25",17,"C","1",0,30,1,8,17,15310
"270999","P00172842",1005762,"F","36-45",6,"A","2",1,26,3,4,NA,13538
"514565","P00194242",1001266,"M","26-35",4,"B","0",1,4,11,16,NA,1704
"317452","P00212142",1000970,"M","26-35",0,"B","4+",1,12,8,NA,NA,6133
"211629","P00084442",1002670,"M","36-45",6,"B","1",0,2,13,16,NA,956
"8200","P00222442",1001266,"M","26-35",4,"B","0",1,10,5,NA,NA,5142
"495161","P00161942",1004235,"M","51-55",2,"C","1",0,10,5,8,NA,5346
"195124","P00313242",1000117,"M","26-35",17,"A","2",1,8,8,NA,NA,3974
"522715","P00217742",1002497,"F","51-55",14,"A","3",1,16,5,14,NA,8691
"119169","P00052842",1000392,"M","18-25",7,"A","0",0,36,10,15,NA,18540
"170803","P00344342",1002349,"M","26-35",8,"C","4+",0,8,8,14,NA,4138
"55660","P00112142",1002550,"M","51-55",7,"C","2",1,38,1,2,14,19539
"65835","P00327142",1004064,"M","46-50",0,"A","1",1,8,8,15,NA,4103
"352681","P00120042",1000309,"M","26-35",4,"B","1",0,30,1,2,NA,15520
"271794","P00128042",1005878,"F","26-35",0,"A","4+",1,36,1,5,18,19050
"306756","P00313542",1005277,"M","26-35",20,"B","2",0,16,5,8,NA,8804
"354908","P00118142",1000704,"F","36-45",8,"C","2",0,20,8,17,NA,9926
"324493","P00130642",1001937,"M","26-35",11,"C","4+",0,8,11,16,NA,4605
"63687","P00037142",1003773,"M","36-45",6,"B","1",0,30,1,2,5,15504
"206044","P00337142",1001755,"F","18-25",4,"B","4+",0,2,12,NA,NA,743
"98742","P00102442",1003313,"M","36-45",20,"A","2",0,12,8,NA,NA,5858
"358977","P00346342",1001285,"M","36-45",4,"A","0",1,36,1,15,NA,19117
"344705","P00117442",1005054,"M","36-45",2,"B","0",0,14,5,14,NA,7110
"286608","P00174242",1002088,"M","51-55",7,"A","1",1,34,15,16,NA,17303
"239238","P00176842",1000924,"M","51-55",17,"C","1",1,2,12,14,NA,1411
"490516","P00265442",1003589,"F","46-50",0,"B","1",1,10,5,NA,NA,5248
"211085","P00042442",1002565,"M","36-45",5,"C","3",0,14,5,NA,NA,7192
"472416","P00115942",1000806,"M","36-45",0,"C","3",1,16,8,17,NA,7924
"162097","P00171342",1001088,"F","0-17",10,"A","3",0,2,13,16,NA,559
"359977","P00111042",1001430,"M","18-25",4,"B","2",1,40,15,NA,NA,21090
"430610","P00198042",1000289,"F","26-35",0,"C","1",0,12,11,16,NA,6087
"201247","P00365242",1001096,"M","0-17",10,"C","1",0,16,5,8,NA,8590
"22423","P00278042",1003518,"F","18-25",7,"A","2",0,16,1,NA,NA,8031
"180467","P00188742",1003858,"F","46-50",9,"B","2",1,18,8,14,17,9731
"524433","P00126442",1002826,"M","36-45",12,"A","4+",1,32,7,NA,NA,16539
"344514","P00144242",1005026,"M","26-35",17,"B","1",1,6,5,14,NA,3506
"417552","P00116142",1004238,"M","36-45",16,"B","3",0,38,10,13,16,19319
"265185","P00345842",1004823,"M","18-25",4,"B","0",1,12,2,8,14,6399
"403737","P00146342",1002063,"M","26-35",4,"A","3",0,8,5,14,NA,3710
"446661","P00001042",1002820,"F","36-45",0,"A","2",0,22,1,2,16,11609
"440297","P00044442",1001741,"M","36-45",7,"A","4+",1,36,1,16,NA,19116
"369717","P00147942",1002962,"M","36-45",3,"A","2",0,14,1,16,NA,7703
"43558","P00164642",1000721,"F","36-45",9,"B","1",0,14,5,14,NA,6974
"315871","P00084842",1000710,"M","26-35",20,"A","4+",0,20,8,16,NA,9901
"326326","P00342742",1002181,"M","26-35",0,"B","4+",1,12,8,14,NA,5832
"333882","P00313242",1003469,"M","46-50",17,"B","3",1,16,8,NA,NA,7883
"104980","P00037042",1004161,"M","46-50",0,"B","3",1,16,1,15,NA,7808
